,Manufacturer,Model Name, Storage,Operating System,Weight,Price,Category_2 in 1 Convertible,Category_Gaming,Category_Netbook,Category_Notebook,Category_Ultrabook,Category_Workstation
30,3,211,64,2,1.89,2178451,0,0,0,1,0,0
31,2,77,32,2,1.65,1769508,0,0,0,1,0,0
32,7,34,500,2,2.71,3903588,0,0,0,1,0,0
33,4,453,512,2,1.2,16619148,0,0,0,0,1,0
34,1,235,256,3,1.35,8874216,0,0,0,0,1,0
35,10,152,64,2,1.44,2214108,0,0,0,1,0,0
36,0,45,1,1,2.1,3263364,0,0,0,1,0,0
37,4,197,1281,2,2.8,8705268,0,0,0,1,0,0
38,7,38,1,2,1.86,4345431,0,0,0,1,0,0
39,7,286,256,2,2.1,7816068,0,0,0,1,0,0
40,2,435,1,1,2.0,3458988,0,0,0,1,0,0
41,4,202,2561,2,2.65,13329108,0,1,0,0,0,0
42,2,445,1,1,2.3,4650427,0,0,0,1,0,0
43,0,50,256,2,2.2,6064344,0,0,0,1,0,0
44,4,203,1,2,2.77,8883108,1,0,0,0,0,0
45,1,236,256,3,1.37,12617748,0,0,0,0,1,0
46,10,161,128,1,2.2,3281148,0,0,0,1,0,0
47,2,318,2561,2,3.2,11550708,0,1,0,0,0,0
48,4,186,256,2,2.3,5681988,0,0,0,1,0,0
49,2,451,1,2,2.8,4143672,0,0,0,1,0,0
50,10,465,64,2,0.69,2836548,1,0,0,0,0,0
51,0,50,256,2,2.2,7478172,0,0,0,1,0,0
52,7,39,256,2,1.86,3543373,0,0,0,1,0,0
53,7,284,512,2,1.49,9807876,0,0,0,1,0,0
54,0,45,1,2,2.4,3414528,0,0,0,1,0,0
55,4,187,256,2,2.13,6827277,0,0,0,1,0,0
56,7,14,128,2,1.91,3903588,0,0,0,1,0,0
57,2,421,256,2,2.0,5212401,0,0,0,1,0,0
58,11,136,2562,2,2.43,21776508,0,1,0,0,0,0
59,2,442,256,1,2.0,3690180,0,0,0,1,0,0
60,4,197,2562,2,2.8,11550708,0,0,0,1,0,0
61,4,432,256,2,1.7,7816068,0,0,0,0,1,0
62,10,169,256,1,1.7,5326308,0,0,0,1,0,0
63,2,392,256,2,1.4,8367372,0,0,0,1,0,0
64,7,38,256,2,1.86,6135480,0,0,0,1,0,0
65,2,474,512,2,1.8,17632836,0,0,0,0,1,0
66,7,38,500,2,1.86,3900831,0,0,0,1,0,0
67,7,332,32,2,1.44,2036268,0,0,0,1,0,0
68,10,408,1,2,1.9,4881708,0,0,0,1,0,0
69,2,111,1,1,3.0,8438508,0,1,0,0,0,0
70,13,333,128,2,1.252,9683388,0,0,0,0,1,0
71,4,189,256,2,1.4,8491860,0,0,0,0,1,0
72,4,193,256,2,2.2,7736040,0,0,0,1,0,0
73,11,126,1281,2,2.7,9736740,0,1,0,0,0,0
74,0,56,1,2,2.1,3458988,0,0,0,1,0,0
75,2,102,1,2,2.2,8438508,0,1,0,0,0,0
76,10,160,2,1,2.2,4614948,0,0,0,1,0,0
77,4,193,1281,2,2.02,7602660,0,0,0,1,0,0
78,0,51,1,2,2.2,4712760,0,0,0,1,0,0
79,7,287,1281,2,2.5,8687484,0,0,0,1,0,0
80,4,222,256,2,1.88,9747054,0,0,0,0,1,0
81,1,234,512,3,0.92,13426920,0,0,0,0,1,0
82,7,285,256,2,1.63,7647120,0,0,0,1,0,0
83,10,157,128,2,2.2,3547908,0,0,0,1,0,0
84,0,45,1,2,2.1,3512340,0,0,0,1,0,0
85,4,202,1281,2,2.65,11995308,0,1,0,0,0,0
86,7,256,256,2,1.83,6215508,0,0,0,0,1,0
87,7,38,256,2,1.96,5326219,0,0,0,1,0,0
88,2,103,1281,2,2.2,12884508,0,1,0,0,0,0
89,4,453,256,2,1.21,14662908,0,0,0,0,1,0
90,2,104,1,2,2.45,6215508,0,1,0,0,0,0
91,0,46,1,2,2.2,6126588,0,0,0,1,0,0
92,7,291,512,2,1.49,10643724,0,0,0,1,0,0
93,4,202,256,2,2.65,10625940,0,1,0,0,0,0
94,2,486,256,2,1.25,9327708,0,0,0,0,1,0
95,0,329,256,2,1.5,7531524,1,0,0,0,0,0
96,4,186,1,1,2.2,5334310,0,0,0,1,0,0
97,4,186,256,1,2.2,4312620,0,0,0,1,0,0
98,2,443,256,2,2.0,5130684,0,0,0,1,0,0
99,7,247,1281,2,2.62,11106108,0,1,0,0,0,0
100,7,18,256,2,1.91,6393348,0,0,0,1,0,0
101,7,22,500,2,2.1,3103308,0,0,0,1,0,0
102,4,187,1,1,2.2,5753124,0,0,0,1,0,0
103,7,95,256,2,1.38,9950148,0,0,0,0,1,0
104,13,333,256,2,1.252,11915280,0,0,0,0,1,0
105,7,255,256,2,1.58,5859828,0,0,0,1,0,0
106,10,176,1,2,1.85,3689290,0,0,0,1,0,0
107,2,393,256,2,1.3,10608156,0,0,0,0,1,0
108,11,129,2561,2,2.2,11550708,0,1,0,0,0,0
109,10,380,256,2,1.58,13160160,0,0,0,1,0,0
110,2,424,2561,2,1.5,11221704,0,0,0,0,1,0
111,4,453,256,2,1.23,12262068,0,0,0,0,1,0
112,10,369,256,2,1.37,12439908,1,0,0,0,0,0
113,7,292,500,2,1.63,6420024,0,0,0,1,0,0
114,4,453,256,2,1.21,14485068,0,0,0,0,1,0
115,7,327,256,2,1.26,12439819,1,0,0,0,0,0
116,7,292,512,2,1.63,9638928,0,0,0,1,0,0
117,4,201,2561,2,2.16,10050894,0,0,0,1,0,0
118,2,449,1,2,2.0,5015088,0,0,0,1,0,0
119,2,424,256,2,1.7,9941256,0,0,0,1,0,0
120,0,328,1,2,2.1,4259268,0,0,0,1,0,0
121,11,135,2562,2,1.8,19931418,0,1,0,0,0,0
122,10,160,256,1,2.2,5593068,0,0,0,1,0,0
123,7,294,512,2,2.5,11301732,0,0,0,1,0,0
124,0,45,256,2,2.1,4010292,0,0,0,1,0,0
125,7,38,500,1,1.86,2303028,0,0,0,1,0,0
126,7,292,1,2,1.63,7220304,0,0,0,1,0,0
127,2,76,64,2,1.65,2471887,0,0,0,1,0,0
128,4,197,2562,2,2.8,12413232,0,0,0,1,0,0
129,7,287,256,2,2.5,8251776,0,0,0,1,0,0
130,4,192,1,2,2.36,5681899,0,0,0,1,0,0
131,4,186,1,2,2.2,3992508,0,0,0,1,0,0
132,0,334,256,2,1.6,7860528,0,0,0,0,1,0
133,0,52,256,2,2.2,5086224,0,0,0,1,0,0
134,7,5,1,2,2.05,5317416,0,0,0,1,0,0
135,7,292,256,2,1.63,8785296,0,0,0,1,0,0
136,10,395,1,1,1.9,2243985,0,0,0,1,0,0
137,2,109,1281,2,3.0,8340696,0,1,0,0,0,0
138,10,160,1,1,2.2,4437108,0,0,0,1,0,0
139,7,94,256,2,1.32,6215508,0,0,0,1,0,0
140,0,46,1,2,3.0,5824260,0,0,0,1,0,0
141,10,355,256,2,1.75,9923649,0,0,0,1,0,0
142,10,228,256,1,2.4,7727148,0,1,0,0,0,0
143,16,320,500,2,2.1,5352984,0,0,0,1,0,0
144,7,39,256,2,1.86,3281148,0,0,0,1,0,0
145,2,477,256,2,1.25,9772308,0,0,0,0,1,0
146,7,84,512,2,0.97,17908488,0,0,0,0,1,0
147,2,436,1,2,2.0,3058848,0,0,0,1,0,0
148,11,118,2561,2,2.9,18041868,0,1,0,0,0,0
149,0,49,1,2,2.1,3974724,0,0,0,1,0,0
150,4,194,512,2,2.56,11108419,0,1,0,0,0,0
151,4,200,1,2,2.62,7993908,0,1,0,0,0,0
152,10,396,128,2,1.9,4428216,0,0,0,1,0,0
153,11,120,2561,2,2.8,16805880,0,1,0,0,0,0
154,7,82,256,2,1.48,9621144,0,0,0,0,1,0
155,7,7,256,2,1.91,5504148,0,0,0,1,0,0
156,10,457,256,2,1.74,5593068,1,0,0,0,0,0
157,2,473,256,2,1.1,11692980,1,0,0,0,0,0
158,4,195,256,2,1.56,9327708,1,0,0,0,0,0
159,16,320,500,2,2.1,3974724,0,0,0,1,0,0
160,2,447,1,2,2.03,3583476,0,0,0,1,0,0
161,0,54,256,2,3.0,7158060,0,0,0,1,0,0
162,4,187,256,2,2.13,6473376,0,0,0,1,0,0
163,10,228,256,2,2.5,9594468,0,1,0,0,0,0
164,0,48,1,2,2.1,3094416,0,0,0,1,0,0
165,11,116,2561,2,2.4,15996708,0,1,0,0,0,0
166,0,45,1,2,2.1,3232330,0,0,0,1,0,0
167,4,194,1281,2,2.56,9429877,0,1,0,0,0,0
168,0,54,256,2,3.0,7593768,0,0,0,1,0,0
169,7,284,500,2,1.49,6704568,0,0,0,1,0,0
170,8,238,256,2,1.05,11995308,0,0,0,0,1,0
171,7,37,2,2,2.71,6215508,0,0,0,1,0,0
172,10,157,500,1,2.2,2747628,0,0,0,1,0,0
173,16,320,500,2,2.0,4348188,0,0,0,1,0,0
174,7,287,256,2,2.5,8207316,0,0,0,1,0,0
175,4,186,1,2,2.3,4081428,0,0,0,1,0,0
176,0,49,128,2,2.1,3992508,0,0,0,1,0,0
177,11,142,5121,2,4.4,24888708,0,1,0,0,0,0
178,10,402,1281,2,1.9,7229196,0,0,0,1,0,0
179,7,327,256,2,1.29,13329108,1,0,0,0,0,0
180,4,193,2562,1,2.02,9327708,0,0,0,1,0,0
181,4,453,256,2,1.23,12439908,0,0,0,0,1,0
182,10,464,512,2,1.4,16441308,1,0,0,0,0,0
183,16,320,128,2,2.0,7051356,0,0,0,1,0,0
184,18,239,256,1,1.95,10661508,0,0,0,1,0,0
185,4,203,512,2,2.77,13773708,0,0,0,1,0,0
186,4,454,512,2,2.06,21314124,0,0,0,1,0,0
187,10,228,256,1,2.4,6926868,0,1,0,0,0,0
188,0,335,256,2,1.12,8794188,0,0,0,0,1,0
189,4,197,1281,2,2.8,9647820,0,0,0,1,0,0
190,10,387,1,2,1.42,25111008,1,0,0,0,0,0
191,17,206,32,2,1.3,2311920,0,0,0,1,0,0
192,18,239,256,1,1.3,8891110,0,0,0,0,1,0
193,10,163,256,1,2.8,6206616,0,0,0,1,0,0
194,4,191,1,2,1.62,7460388,1,0,0,0,0,0
195,7,287,1,2,2.5,8127288,0,0,0,1,0,0
196,14,63,1,2,3.49,54232308,0,1,0,0,0,0
197,7,284,512,2,1.49,8527428,0,0,0,1,0,0
198,7,250,2561,2,3.35,12262068,0,1,0,0,0,0
199,7,294,256,2,2.5,9292140,0,0,0,1,0,0
200,4,202,5121,2,2.65,16405740,0,1,0,0,0,0
201,10,399,128,2,2.1,4383756,0,0,0,1,0,0
202,0,58,1,2,2.23,6597864,0,0,0,1,0,0
203,10,229,5121,2,3.2,15552108,0,1,0,0,0,0
204,4,275,2561,2,2.8,27165060,0,0,0,0,0,1
205,10,228,512,1,2.4,12431016,0,1,0,0,0,0
206,4,186,1,2,2.3,3903588,0,0,0,1,0,0
207,4,453,256,2,1.21,17330508,0,0,0,0,1,0
208,4,453,256,2,1.2,12884508,0,0,0,0,1,0
209,10,160,256,2,2.2,5308524,0,0,0,1,0,0
210,0,47,1,1,2.4,6926868,0,0,0,1,0,0
211,2,305,2561,2,2.9,12511044,0,1,0,0,0,0
212,7,19,500,1,2.1,3103308,0,0,0,1,0,0
213,10,160,256,1,2.2,4881708,0,0,0,1,0,0
214,8,238,512,2,1.05,13329108,0,0,0,0,1,0
215,4,189,256,2,1.4,8286276,0,0,0,0,1,0
216,10,162,1,1,2.8,5237388,0,0,0,1,0,0
217,7,292,256,2,1.63,9167652,0,0,0,1,0,0
218,4,220,256,2,1.6,10216908,0,0,0,0,1,0
219,4,191,512,2,1.62,11372868,1,0,0,0,0,0
220,4,187,256,1,2.2,6022996,0,0,0,1,0,0
221,10,457,256,2,1.74,7993908,1,0,0,0,0,0
222,16,266,256,2,1.2,12119796,0,0,0,0,1,0
223,7,286,1,2,2.1,7060248,0,0,0,1,0,0
224,4,43,2561,2,4.42,21841775,0,1,0,0,0,0
225,0,58,256,2,2.2,7398144,0,0,0,1,0,0
226,4,192,1,2,2.3,7638316,0,0,0,1,0,0
227,2,428,256,2,2.0,6837948,0,0,0,1,0,0
228,2,208,256500,2,2.69,7922772,0,0,0,1,0,0
229,7,467,1,2,1.9,11283948,0,0,0,1,0,0
230,2,282,1,2,2.37,3547819,0,0,0,1,0,0
231,7,28,500,2,2.1,2934360,0,0,0,1,0,0
232,10,229,2561,2,3.2,13329108,0,1,0,0,0,0
233,4,431,256,2,1.6,7638228,0,0,0,1,0,0
234,0,61,256,2,1.6,6126588,1,0,0,0,0,0
235,4,192,256,1,2.36,7993908,0,0,0,1,0,0
236,0,49,1,1,2.1,3467880,0,0,0,1,0,0
237,2,448,1281,2,2.2,5112900,0,0,0,1,0,0
238,2,302,5121,2,4.7,34589880,0,1,0,0,0,0
239,0,242,256,2,2.5,7522632,0,1,0,0,0,0
240,10,161,128,2,2.2,5237388,0,0,0,1,0,0
241,2,422,1281,2,2.1,10181340,0,0,0,1,0,0
242,2,100,1281,1,2.69,7904988,0,0,0,1,0,0
243,4,194,256,2,2.56,7816068,0,1,0,0,0,0
244,10,463,256,2,1.38,9594468,1,0,0,0,0,0
245,4,193,1282,2,2.2,8758620,0,0,0,1,0,0
246,7,17,1,2,2.04,4970628,0,0,0,1,0,0
247,2,308,256,2,3.6,26667108,0,1,0,0,0,0
248,7,284,500,2,1.49,6002100,0,0,0,1,0,0
249,1,236,512,3,1.37,18139680,0,0,0,0,1,0
250,4,195,1,2,2.08,7282548,1,0,0,0,0,0
251,2,303,2561,2,4.3,15996708,0,1,0,0,0,0
252,2,434,1,2,1.68,4170348,0,0,0,1,0,0
253,10,464,512,2,1.37,16441308,1,0,0,0,0,0
254,0,46,256,2,3.0,6242184,0,0,0,1,0,0
255,4,430,256,2,1.41,8438508,0,0,0,0,1,0
256,7,11,128,2,1.91,3964942,0,0,0,1,0,0
257,7,96,1,2,2.9,9416628,0,0,0,1,0,0
258,11,139,5121,2,4.14,22221108,0,1,0,0,0,0
259,10,460,512,2,2.0,15107508,1,0,0,0,0,0
260,4,197,1281,2,2.8,10154664,0,0,0,1,0,0
261,10,161,256,1,2.2,3948048,0,0,0,1,0,0
262,7,286,500,2,2.1,6420024,0,0,0,1,0,0
263,4,429,1,2,2.18,5842044,0,0,0,1,0,0
264,4,186,1,2,2.24,5023980,0,0,0,1,0,0
265,4,195,256,2,2.67,7104708,1,0,0,0,0,0
266,2,473,512512,2,1.1,13329108,1,0,0,0,0,0
267,10,160,1,1,2.2,4152564,0,0,0,1,0,0
268,7,294,1,2,2.5,9052056,0,0,0,1,0,0
269,10,415,256,2,2.05,7824960,0,0,0,1,0,0
270,1,236,512,3,1.37,17418538,0,0,0,0,1,0
271,2,318,2561,2,3.2,13773708,0,1,0,0,0,0
272,4,187,256,1,2.14,6536242,0,0,0,1,0,0
273,10,367,512,2,1.36,22221108,1,0,0,0,0,0
274,16,320,500,2,2.2,7220304,0,0,0,1,0,0
275,4,192,1,2,2.3,6340618,0,0,0,1,0,0
276,4,197,1281,1,2.8,9772308,0,0,0,1,0,0
277,0,50,1,2,2.2,6624540,0,0,0,1,0,0
278,10,164,1,2,2.8,4348188,0,0,0,1,0,0
279,10,163,2,1,2.8,7549308,0,0,0,1,0,0
280,10,162,1281,2,2.8,7638228,0,0,0,1,0,0
281,4,186,1,1,2.25,3805776,0,0,0,1,0,0
282,10,228,256,2,2.5,7371468,0,1,0,0,0,0
283,10,178,256,2,2.2,5148468,0,0,0,1,0,0
284,0,54,256,2,3.0,8456292,0,0,0,1,0,0
285,0,319,1,2,2.15,5859828,0,0,0,1,0,0
286,10,383,256,2,1.95,9754524,0,0,0,1,0,0
287,2,424,256,2,1.7,8687484,0,0,0,0,1,0
288,10,228,2561,2,2.5,10483668,0,1,0,0,0,0
289,10,159,1,1,2.2,5859916,0,0,0,1,0,0
290,0,71,16,3,2.19,1769508,0,0,0,1,0,0
291,2,108,1,2,3.0,10554804,0,1,0,0,0,0
292,7,30,1,2,2.54,4348188,0,0,0,1,0,0
293,4,454,256,2,2.0,16263468,0,0,0,1,0,0
294,10,414,256,2,2.05,6571188,0,0,0,1,0,0
295,10,229,1,2,3.2,11550708,0,1,0,0,0,0
296,0,55,256,1,2.5,8705268,0,0,0,1,0,0
297,4,276,256,2,3.42,25652175,0,0,0,0,0,1
298,10,153,1,2,2.4,4437108,0,0,0,1,0,0
299,2,480,512,2,1.63,13053456,0,0,0,0,1,0
300,2,423,128,2,1.3,4526028,0,0,0,1,0,0
301,2,314,2561,2,2.9,18868824,0,1,0,0,0,0
302,10,162,1,2,2.8,5770908,0,0,0,1,0,0
303,10,160,2,1,2.2,4881708,0,0,0,1,0,0
304,2,122,1281,2,2.5,11248380,0,1,0,0,0,0
305,10,158,1,1,2.2,3201031,0,0,0,1,0,0
306,7,85,256,2,1.28,17561700,1,0,0,0,0,0
307,16,320,256,2,2.2,9274356,0,0,0,1,0,0
308,10,159,1281,2,2.3,7282548,0,0,0,1,0,0
309,7,38,1,2,1.86,4170348,0,0,0,1,0,0
310,10,171,256,2,1.1,8883108,0,0,0,1,0,0
311,4,453,1,2,1.21,22221108,0,0,0,0,1,0
312,11,117,2561,2,2.8,18664308,0,1,0,0,0,0
313,0,78,256,2,2.23,4170348,0,0,0,1,0,0
314,2,419,32,2,1.1,2445300,1,0,0,0,0,0
315,4,193,1281,2,2.33,7504848,0,0,0,1,0,0
316,7,327,1,2,1.29,21776508,1,0,0,0,0,0
317,10,353,16,3,1.45,4089430,0,0,0,1,0,0
318,7,288,256,2,1.95,8714160,0,0,0,1,0,0
319,0,388,128,2,1.4,4312620,0,0,0,1,0,0
320,7,88,256,2,1.48,11488464,0,0,0,1,0,0
321,10,162,1,2,2.79,5237388,0,0,0,1,0,0
322,2,476,256,2,2.0,9727848,0,0,0,1,0,0
323,7,286,1,2,2.1,8020584,0,0,0,1,0,0
324,0,46,256,2,2.2,5859828,0,0,0,1,0,0
325,10,152,32,2,1.44,2596464,0,0,0,1,0,0
326,0,57,1,2,2.23,4881708,0,0,0,1,0,0
327,2,424,256,2,1.7,9335710,0,0,0,0,1,0
328,7,87,256,2,1.26,11870820,0,0,0,0,1,0
329,4,454,1,2,2.06,23465988,0,0,0,1,0,0
330,11,127,2561,2,2.7,10661508,0,1,0,0,0,0
331,16,320,256,2,2.0,8385156,0,0,0,1,0,0
332,2,394,2561,2,2.0,11861928,0,0,0,1,0,0
333,10,405,1,2,1.85,3992508,0,0,0,1,0,0
334,2,106,256,2,2.5,8883108,0,1,0,0,0,0
335,7,82,256,2,1.48,11275056,0,0,0,1,0,0
336,4,201,1281,2,1.9,9327708,0,0,0,0,1,0
337,7,89,256,2,1.84,10172448,0,0,0,1,0,0
338,2,437,1,1,2.0,2445211,0,0,0,1,0,0
339,4,201,256,2,2.0,10161333,0,0,0,1,0,0
340,4,185,500,1,2.2,2444410,0,0,0,1,0,0
341,10,156,2,2,2.2,7993908,0,0,0,1,0,0
342,7,286,1,2,2.1,6366672,0,0,0,1,0,0
343,10,464,512,2,1.4,18664308,1,0,0,0,0,0
344,4,453,256,2,1.2,14040468,0,0,0,0,1,0
345,10,228,2562,2,2.4,10039068,0,1,0,0,0,0
346,7,331,32,2,1.44,2480868,0,0,0,1,0,0
347,4,222,512256,2,1.88,14297980,0,0,0,0,1,0
348,2,419,32,2,1.5,3334500,1,0,0,0,0,0
349,4,193,1,2,1.9,5895396,0,0,0,0,1,0
350,4,454,512,2,2.06,18027818,0,0,0,1,0,0
351,7,89,256,2,1.84,11595168,0,0,0,1,0,0
352,11,131,1281,2,2.7,12528828,0,1,0,0,0,0
353,7,470,256,2,2.6,15456696,0,0,0,0,0,1
354,16,342,512,2,2.4,12475476,0,0,0,1,0,0
355,4,193,1282,2,2.02,8633242,0,0,0,1,0,0
356,10,158,1,1,2.2,2863135,0,0,0,1,0,0
357,4,202,1,2,2.65,8883108,0,1,0,0,0,0
358,4,186,2,2,2.36,4956134,0,0,0,1,0,0
359,4,225,256,2,1.36,12688884,0,0,0,1,0,0
360,7,38,500,2,1.86,3903588,0,0,0,1,0,0
361,2,485,256,2,2.0,8402940,0,0,0,1,0,0
362,10,162,1281,2,2.8,6393348,0,0,0,1,0,0
363,7,38,1,2,1.86,5681988,0,0,0,1,0,0
364,10,161,256,1,2.2,4437108,0,0,0,1,0,0
365,7,2,2,2,2.04,3458988,0,0,0,1,0,0
366,4,197,1281,2,2.8,9647820,0,0,0,1,0,0
367,10,228,1281,1,2.4,7193628,0,1,0,0,0,0
368,4,192,256,2,2.33,7993908,0,0,0,1,0,0
369,7,86,256,2,1.36,15561000,0,0,0,0,1,0
370,2,473,5122,2,2.26,9772308,1,0,0,0,0,0
371,0,45,128,2,2.1,3787992,0,0,0,1,0,0
372,2,318,2561,2,3.25,19553508,0,1,0,0,0,0
373,10,151,128,2,2.6,4348188,0,0,0,1,0,0
374,4,191,256,2,1.62,7727236,1,0,0,0,0,0
375,7,23,256,2,1.91,4348099,0,0,0,1,0,0
376,10,455,128,2,1.59,4917276,0,0,1,0,0,0
377,4,185,500,2,1.8,2747628,0,0,0,1,0,0
378,2,418,32,2,1.5,2543112,0,0,0,1,0,0
379,0,47,1,1,2.4,7522632,0,0,0,1,0,0
380,7,254,1281,2,3.35,10590372,0,1,0,0,0,0
381,10,404,128,1,1.85,3587922,0,0,0,1,0,0
382,2,306,1281,2,2.3,14716260,0,1,0,0,0,0
383,10,172,256,2,1.5,9772308,0,0,0,1,0,0
384,2,482,512,2,1.1,15551218,0,0,0,0,1,0
385,10,384,512,2,1.13,20291544,0,0,0,0,1,0
386,10,181,128,2,1.5,4881708,0,0,0,1,0,0
387,4,272,500,2,2.23,12173148,0,0,0,0,0,1
388,4,274,256,2,2.0,18984420,0,0,0,0,0,1
389,10,367,512,2,1.42,22310028,1,0,0,0,0,0
390,2,315,1,2,3.0,9238788,0,1,0,0,0,0
391,2,317,2561,2,3.0,14147172,0,1,0,0,0,0
392,0,46,1,2,2.2,6170959,0,0,0,1,0,0
393,11,231,256,2,2.7,11995308,0,1,0,0,0,0
394,4,192,256,1,2.33,6925712,0,0,0,1,0,0
395,7,8,256,2,1.91,4437108,0,0,0,0,1,0
396,10,357,256,2,2.1,10933247,0,0,0,1,0,0
397,10,358,256,2,1.9,8340696,0,0,0,1,0,0
398,4,277,256,2,1.78,24115104,0,0,0,0,0,1
399,10,384,1,2,1.13,23341500,0,0,0,0,1,0
400,10,158,1,2,2.2,2720952,0,0,0,1,0,0
401,2,110,2561,2,2.9,13595868,0,1,0,0,0,0
402,10,357,2561,2,2.1,10176894,0,0,0,1,0,0
403,0,47,256,1,2.5,7816068,0,0,0,1,0,0
404,11,121,2561,2,2.8,19998108,0,1,0,0,0,0
405,2,481,512,2,1.1,16654716,0,0,0,0,1,0
406,16,267,512,2,1.2,15534324,0,0,0,0,1,0
407,4,225,512,2,1.36,14938560,0,0,0,0,1,0
408,10,161,500,2,2.2,3636828,0,0,0,1,0,0
409,10,230,32,2,1.15,2707169,0,0,0,1,0,0
410,10,360,512,2,2.67,17117100,0,0,0,0,0,1
411,10,381,512,2,1.7,17277156,0,0,0,0,1,0
412,7,4,1,2,2.1,4170348,0,0,0,1,0,0
413,0,61,256,2,1.6,7015876,1,0,0,0,0,0
414,2,473,256,2,1.27,8251776,1,0,0,0,0,0
415,4,186,256,1,2.3,5325418,0,0,0,1,0,0
416,4,215,128,2,1.65,6126588,0,0,0,1,0,0
417,7,80,256,2,1.43,13338000,0,0,0,0,1,0
418,4,186,1,2,2.14,4801235,0,0,0,1,0,0
419,10,355,256,2,1.75,10807158,0,0,0,0,1,0
420,10,460,512,2,2.0,16885908,1,0,0,0,0,0
421,3,210,64,2,1.4,3992508,0,0,0,1,0,0
422,7,289,256,2,2.31,12688884,0,0,0,1,0,0
423,2,444,1,1,2.3,5308524,0,0,0,1,0,0
424,4,43,2561,2,4.42,24888708,0,1,0,0,0,0
425,4,202,1281,2,2.62,10305828,0,1,0,0,0,0
426,4,193,2562,2,2.02,10158220,0,0,0,1,0,0
427,4,219,256,1,1.6,9772308,0,0,0,0,1,0
428,7,253,2561,2,3.35,17775108,0,1,0,0,0,0
429,12,114,32,2,1.16,2658708,1,0,0,0,0,0
430,15,68,16,3,1.15,2391948,0,0,1,0,0,0
431,10,370,256,2,1.4,8980920,0,0,0,1,0,0
432,10,165,128,2,1.7,5326308,0,0,0,1,0,0
433,10,383,512,2,2.3,21740940,0,0,0,0,0,1
434,10,374,512,2,2.5,21776508,0,0,0,1,0,0
435,2,318,2561,2,3.2,15071940,0,1,0,0,0,0
436,7,27,500,2,2.1,3085524,0,0,0,1,0,0
437,6,259,512,3,1.1,19553508,0,0,0,0,1,0
438,10,365,512,2,1.32,21180744,0,0,0,0,1,0
439,2,421,256,1,2.0,4970628,0,0,0,1,0,0
440,10,157,1,2,2.8,4614948,0,0,0,1,0,0
441,4,193,256,2,2.2,6660108,0,0,0,1,0,0
442,10,368,256,2,1.36,12706668,0,0,0,0,1,0
443,10,158,128,2,2.2,3103308,0,0,0,1,0,0
444,7,245,1281,2,2.2,9772308,0,1,0,0,0,0
445,4,219,256,2,1.64,10483668,0,0,0,1,0,0
446,0,59,500,1,2.4,3928485,0,0,0,1,0,0
447,4,273,641,2,2.23,17721756,0,0,0,0,0,1
448,11,143,256,2,2.2,9138664,0,1,0,0,0,0
449,13,333,512,2,1.25,23021388,0,0,0,0,1,0
450,7,20,128,2,1.91,5237388,0,0,0,1,0,0
451,4,273,256,2,2.17,17561700,0,0,0,0,0,1
452,7,289,512,2,2.31,13640328,0,0,0,0,0,1
453,10,363,256,2,1.65,11959740,0,0,0,1,0,0
454,4,193,1281,2,2.36,8705268,0,0,0,1,0,0
455,4,183,500,2,1.47,4259268,1,0,0,0,0,0
456,4,43,1,2,4.42,18193032,0,0,0,1,0,0
457,13,333,128,2,1.252,8794188,0,0,0,0,1,0
